id,title,year,review,rating,reviewer
11239,Shall We Dance?,1996, Such a wonderfully funny and endearing film You can change your life at any age Never feel that you re not allowed to be happy ,5.0,Jim Cummings
11239,Shall We Dance?,1996, After finally seeing the remake with JLo and Richard Gere  many people told me about this original version and I finally decided to check it out  The film has its appeal  and you can tell a lot of the tone and charm of the remake was derived from this one  being slightly different as you would anticipate given that the Japanese sillyness and humour is by default different from the American  The characters are entertaining to watch  and the romance is still nice  and the performers do a terrific job delivering  What I believe the remake did well was to cut a lot of time  because while it is true that a lot of that time here is going to character development  I think two hours and fifteen minutes is just too excessive for a movie like this All in all  although I think the remake is more memorable in many ways  if you liked that version  I d say it s worth seeing this version  in any case  you ll get a lot more TODAY SCHEDULEDownhillEasy VirtueThe Responsive EyeShall We ,3.0,"Rafael ""Parker!!"" Jovine"
11239,Shall We Dance?,1996, I found this really enjoyable  good natured and quite heart warming  However  two things   I do feel he was being unfair to his wife  Second point and the major one   I cannot reconcile that Blackpool in the 90s was still the centre of the Ballroom dancing world  I do understand the Tower Ballroom is world famous for this  I ve been there  but Blackpool is not quiet  For the last few years it is budget Vegas on the English coast  and at time of writing  the crime rate is 150  of the national UK average  Sorry to any followers of mine readers of this  stating that about Blackpool if you live there or are fond of it  I was born in Luton so I shouldn t really speak  about anything really As per Bloomberg Walk into a pub in Blackpool  England  and you risk having your shoes vomited upon or being whacked in the face by an inflatable pink phallus  That s because the seaside town is ground zero for the country s  stag and hen  bashes  pre wedding blowouts that swirl booze  buffoonery  and public lewdness into shrieking tornadoes of pure party destruction Full article www bloomberg com news articles 2014 06 30 the grotesque glory of blackpool s stag and hen partiesAnd my fav part from the article And should you ever decide to get hitched there  remember this side note from the photographer himself   For those with a bigger budget  dwarves can be hired out and handcuffed to the groom for a fee Minus that slight factual inaccuracy that kinda ruins the illusion  this is a really pleasant watch ,3.5,ALISTAIR LEACH
11239,Shall We Dance?,1996, A perfect example of how far the charm and heart of a film can take it in the eyes of the viewer  Shall We Dance  is the warmest of hugs  a celebration of life and self love  Living a life that is monotonous and detached and impulsively finding it rejuvenated by a jolt of lightning in the form of ballroom dance  All those simultaneously busy yet lonely train rides back from the office  the feeling that something is lacking from life  the passive acceptance of earning money for the sake of mortgage  This severe lack of fun in life finds its knight in shining armour in the form of dancing  His own reason for choosing to dance is not the sincerest at first  but he discovers a newfound passion in it soon after  Heartwarming  Life affirming  Midlife crisis has never looked this enviable ,4.5,Ayush
11239,Shall We Dance?,1996, Dear Japanese Cinema Every genre you attempt there is a certain freshness to it In this case even though the concept is not associated with your culture yet again you made me smile  Seeing Sugiyama s personal life its something i want to happen to me  its a family I wish to possess   Wonderful performances well choreographed dancing moves its a winner all the way P S   Please avoid the Hollywood remake at all costs ,5.0,Varghese
11239,Shall We Dance?,1996, Shall We Simp Middle aged family dude sees hot chick on his way home each night and discovers she s a dance instructor  so naturally  he decides to take up dance classes in hopes of scoring some poontang Begins as a basic simp story about a man exploring his release from the daily mundane  then gradually steps into the rediscovery of joy  finding something to look forward to each week and remembering how to really smile again I could have done with more of Naoto s weirdo wig wearing office high jinks  as well as Akira s not so subtle detective story  Was even expecting a tad more from the dude s wife and daughter  who completely vanish during the 2nd act  Interesting to see the stigma of dancing for men being a big thing back then  the guys hide it like they re regular visitors to a strip club or something  It s got a good message  great bookend and worth seeing at least once  ballroom dancing aka boring dancing ain t really my thing  The current LB poster once again looks like crap that I would have flicked by had someone not informed me of this Japanese classic  There s one scene where Koji and Naoto are in the bathroom together using the urinal stalls and after chatting  Naoto leaves without flushing  Did he want Koji to continue smelling his pee ,4.0,Ⓢⓒⓘ-Ⓕⓘ Ⓦⓐⓢⓐⓑⓘ🍥
11239,Shall We Dance?,1996, Middle age crisis is often shown through a negative lens either through mundane life or regrettable actions  But here is a movie that tries to put a positive spin through dancing  Shohei has worked very hard for success and has everything the society expects  a loving wife and kid  a steady job  a new house but he isn t happy  While gazing at the city from his usual route to home from work  he falls for a beautiful woman and signs up for dancing classes after learning that she runs a dance school  This sounds like a dirty old man looking for a cheap hook up but it s not  What follows is a beautiful story of someone finding the guts to get out of their comfort zone and discover the freedom and healing power that dancing holds All the characters are lovable and well written  also perfectly cast but Koji Yakusho steals the show with every little detail  the shy nature  nervousness  missteps  gradual change of body posture etc,4.5,Bhavya
11239,Shall We Dance?,1996, Probably deserves a lower score I find the genre about middle aged men existentially upset about their good jobs and caring families not being enough for them to be ethically irresponsible  but the casting and editing do a lot here to paper over my disdain  I imagine the American remake is miserable with Richard Gere s smug face But Yakusho s handsome  confused everymanness  Kusakari s sad droopy eyes  Kusamara s incredible gentle and accepting expressions  combine to create something far more tender and less egocentric than what that plot description typically entails  The editing and its dedication to a slow  often removed look at this story give just enough emotional distance from the characters to turn this into a surprisingly pleasant story about not getting what you want and instead getting what you need 7 15 ,3.0,Rembrandt Q Pumpernickel
11239,Shall We Dance?,1996, For a middle aged married man  an escape from the mundanity of his job and life arrives in the form of a peek outside the train window during his daily commute  That woman who gazes out of her dance classroom  allures him  so much so that the most exciting part of his day becomes that 1 second glance at that train station Does he desire her or the freedom or lack thereof in her eyes when he first saw her Koji Yakusho  who I had only seen in serious and heavy roles  is a revelation here  so gentle and humane  I cried a lot in the first act  just for his eyes  The moment when the detectives find him dancing alone under the rain and the moment when she looks out and he s practising the steps while waiting for the train  so piercing The first hour blazes with a poignant yet kinetic energy  If the second hour wasn t so dragged out  and knew where to go after an excellent build up  I would have loved it more Some things irk me   why the fuck are you shouting your dad s name repeatedly and calling attention to the fact that his daughter and wife are in audience  during his performance  when it s obvious that it would break his concentration and make him forfeit dancing  That scene was very hard and irritating to watch  Can t you confront him once he s home Trains in Japanese cinema,,edil
11239,Shall We Dance?,1996, Watch This List Unplugged PresentsHidden GemsEpisode 11  AJHappy Thursday  kids  AJ is on the pod this week for the first time ever   sharing his hidden gem selections that truly warm the heart  An absolute delight to experience Shall We Dance  for the first time as well as another Japanese treasure from 1996  AJ never runs out of fantastic recs you ve never heard of  amp  championing underseen films Audio here  Video here Enjoy ,4.0,Amy Hensarling
